Date : 2025-11-14 02:21:28
Directory : /home/qlt/zeno-wallet
Total : 244 files,  21952 codes, 433 comments, 2384 blanks, all 24769 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TOML               |          2 |      7,252 |          6 |        748 |      8,006 |
| Svelte             |        123 |      5,990 |          0 |        538 |      6,528 |
| TypeScript         |         38 |      3,226 |        189 |        385 |      3,800 |
| Rust               |         28 |      2,048 |        193 |        282 |      2,523 |
| JSON               |         12 |      1,236 |          0 |          6 |      1,242 |
| YAML               |          1 |        958 |          0 |        268 |      1,226 |
| XML                |         27 |        518 |          5 |         17 |        540 |
| PostCSS            |          1 |        450 |          5 |         89 |        544 |
| JavaScript         |          5 |        186 |         35 |         28 |        249 |
| Markdown           |          4 |         51 |          0 |         21 |         72 |
| JSON with Comments |          1 |         25 |          0 |          0 |         25 |
| HTML               |          2 |         12 |          0 |          2 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                            |        244 |     21,952 |        433 |      2,384 |     24,769 |
| . (Files)                                                    |         11 |      1,114 |          1 |        293 |      1,408 |
| scripts                                                      |          1 |         43 |         15 |          9 |         67 |
| src                                                          |        169 |     10,878 |        213 |      1,032 |     12,123 |
| src (Files)                                                  |          4 |        667 |         25 |        125 |        817 |
| src-tauri                                                    |         34 |      9,365 |        199 |      1,032 |     10,596 |
| src-tauri (Files)                                            |          5 |      7,294 |          6 |        751 |      8,051 |
| src-tauri/capabilities                                       |          2 |         26 |          0 |          0 |         26 |
| src-tauri/src                                                |         27 |      2,045 |        193 |        281 |      2,519 |
| src-tauri/src (Files)                                        |          6 |        271 |         23 |         41 |        335 |
| src-tauri/src/airgap                                         |          1 |          0 |          0 |          1 |          1 |
| src-tauri/src/browser                                        |          2 |         67 |         20 |         14 |        101 |
| src-tauri/src/core                                           |          7 |        976 |         39 |        120 |      1,135 |
| src-tauri/src/evm                                            |          3 |        394 |         52 |         44 |        490 |
| src-tauri/src/indexer                                        |          1 |          0 |          0 |          1 |          1 |
| src-tauri/src/rpc                                            |          1 |         21 |          0 |          6 |         27 |
| src-tauri/src/spv                                            |          1 |          0 |         23 |          4 |         27 |
| src-tauri/src/utils                                          |          5 |        316 |         36 |         50 |        402 |
| src/abis                                                     |          4 |      1,083 |          0 |          4 |      1,087 |
| src/components                                               |         29 |      5,187 |          0 |        470 |      5,657 |
| src/constants                                                |          1 |          8 |          3 |          6 |         17 |
| src/crypto                                                   |         11 |        795 |         17 |        100 |        912 |
| src/locales                                                  |          5 |        232 |          1 |          5 |        238 |
| src/locales (Files)                                          |          2 |         14 |          0 |          0 |         14 |
| src/locales/terms                                            |          3 |        218 |          1 |          5 |        224 |
| src/pages                                                    |          3 |        148 |          0 |         23 |        171 |
| src/provider                                                 |          3 |        817 |         17 |         31 |        865 |
| src/states                                                   |          9 |        562 |         55 |        119 |        736 |
| src/svg                                                      |         92 |        676 |          0 |         34 |        710 |
| src/utils                                                    |          8 |        703 |         95 |        115 |        913 |
